"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
173,ADVANCES IN MICROBIAL PHYSIOLOGY,0065-2911,904,8.250,4,0.002240,
174,ANNUAL REVIEW OF NUTRITION,0199-9885,"3,638",8.205,24,0.010400,
175,ADVANCED MATERIALS,0935-9648,"49,008",8.191,772,0.213530,
176,CURRENT OPINION IN NEUROBIOLOGY,0959-4388,"9,413",8.102,71,0.054070,
177,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,"318,252",8.091,"3,242",0.951760,
178,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"2,265",8.000,26,0.005970,
179,FEMS MICROBIOLOGY REVIEWS,0168-6445,"5,238",7.963,43,0.017960,
180,ANNUAL REVIEW OF MATERIALS RESEARCH,1531-7331,"3,747",7.947,23,0.011320,
181,JOURNAL OF AUTOIMMUNITY,0896-8411,"3,322",7.881,93,0.009710,
182,CURRENT OPINION IN CHEMICAL BIOLOGY,1367-5931,"6,346",7.854,93,0.030360,
183,SYSTEMATIC BIOLOGY,1063-5157,"7,636",7.833,74,0.031040,
184,CURRENT TOPICS IN DEVELOPMENTAL BIOLOGY,0070-2153,"1,556",7.827,63,0.010760,
185,BLOOD REVIEWS,0268-960X,"1,355",7.816,30,0.006030,
186,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,"7,960",7.804,101,0.024880,
187,AGING CELL,1474-9718,"2,083",7.791,85,0.016720,
188,STEM CELLS,1066-5099,"10,459",7.741,333,0.060360,
189,HUMAN REPRODUCTION UPDATE,1355-4786,"3,784",7.590,49,0.011690,
190,CLINICAL PHARMACOLOGY & THERAPEUTICS,0009-9236,"12,184",7.586,213,0.027630,
191,CELL DEATH AND DIFFERENTIATION,1350-9047,"10,309",7.548,206,0.062840,
192,Annual Review of Pathology-Mechanisms of Disease,1553-4006,341,7.529,23,0.002760,
193,CANCER RESEARCH,0008-5472,"125,341",7.514,"1,228",0.434460,
194,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,"26,176",7.505,264,0.103570,
195,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,466,7.500,8,0.001900,
196,CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,"6,378",7.485,85,0.026020,
197,CURRENT OPINION IN MICROBIOLOGY,1369-5274,"5,318",7.483,81,0.033260,
198,CANADIAN MEDICAL ASSOCIATION JOURNAL,0820-3946,"9,606",7.464,105,0.028340,
199,JOURNAL OF NEUROSCIENCE,0270-6474,"120,933",7.452,"1,438",0.521790,
200,NATURAL PRODUCT REPORTS,0265-0568,"3,690",7.450,45,0.013170,
201,Cell Host & Microbe,1931-3128,618,7.436,89,0.004850,
202,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,"1,081",7.409,11,0.002570,
203,HYPERTENSION,0194-911X,"28,464",7.368,349,0.083860,
204,GASTROINTESTINAL ENDOSCOPY,0016-5107,"18,023",7.367,269,0.040910,
205,DIABETES CARE,0149-5992,"40,826",7.349,423,0.137370,
206,MOLECULAR ASPECTS OF MEDICINE,0098-2997,"1,513",7.320,35,0.007180,
207,MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,"20,661",7.280,263,0.081410,
